"lumpcapacitance [pF]","lumpinductance [nH]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0,0,2,-107.335782056567
0,0,2.00571428571429,-110.788275309962
0,0,2.01142857142857,-114.249861636524
0,0,2.01714285714286,-117.72023703562
0,0,2.02285714285714,-121.199074114801
0,0,2.02857142857143,-124.686022113035
0,0,2.03428571428571,-128.180707101576
0,0,2.04,-131.682732365919
0,0,2.04571428571429,-135.191678970407
0,0,2.05142857142857,-138.70710650572
0,0,2.05714285714286,-142.228554017612
0,0,2.06285714285714,-145.755541113468
0,0,2.06857142857143,-149.287569241705
0,0,2.07428571428571,-152.824123136908
0,0,2.08,-156.364672422231
0,0,2.08571428571429,-159.90867335847
0,0,2.09142857142857,-163.455570727993
0,0,2.09714285714286,-167.004799839934
0,0,2.10285714285714,-170.555788641729
0,0,2.10857142857143,-174.107959921093
0,0,2.11428571428571,-177.660733581155
0,0,2.12,178.786471028896
0,0,2.12571428571429,175.234232746289
0,0,2.13142857142857,171.683126208876
0,0,2.13714285714286,168.133719469962
0,0,2.14285714285714,164.586571632514
0,0,2.14857142857143,161.042230520851
0,0,2.15428571428571,157.501230407656
0,0,2.16,153.964089812891
0,0,2.16571428571429,150.431309390517
0,0,2.17142857142857,146.903369917356
0,0,2.17714285714286,143.380730397248
0,0,2.18285714285714,139.863826292153
0,0,2.18857142857143,136.353067890007
0,0,2.19428571428571,132.84883881782
0,0,2.2,129.351494706429
0,0,2.20571428571429,125.861362011944
0,0,2.21142857142857,122.378736996957
0,0,2.21714285714286,118.9038848731
0,0,2.22285714285714,115.437039105038
0,0,2.22857142857143,111.978400874235
0,0,2.23428571428571,108.528138699889
0,0,2.24,105.086388212754
0,0,2.24571428571429,101.653252076923
0,0,2.25142857142857,98.2288000533186
0,0,2.25714285714286,94.8130691980719
0,0,2.26285714285714,91.4060641883342
0,0,2.26857142857143,88.0077577673396
0,0,2.27428571428571,84.6180913005355
0,0,2.28,81.2369754339885
0,0,2.28571428571429,77.8642908465739
0,0,2.29142857142857,74.4998890871354
0,0,2.29714285714286,71.1435934881513
0,0,2.30285714285714,67.7952001476694
0,0,2.30857142857143,64.4544789713733
0,0,2.31428571428571,61.1211747673523
0,0,2.32,57.7950083862129
0,0,2.32571428571429,54.4756779000237
0,0,2.33142857142857,51.1628598137688
0,0,2.33714285714286,47.8562103037333
0,0,2.34285714285714,44.5553664777907
0,0,2.34857142857143,41.2599476529271
0,0,2.35428571428571,37.9695566461968
0,0,2.36,34.6837810754997
0,0,2.36571428571429,31.4021946674418
0,0,2.37142857142857,28.1243585697289
0,0,2.37714285714286,24.8498226662067
0,0,2.38285714285714,21.5781268930999
0,0,2.38857142857143,18.3088025552125
0,0,2.39428571428571,15.0413736415127
0,0,2.4,11.7753581395059
0,0,2.40571428571429,8.51026934842219
0,0,2.41142857142857,5.24561719115339
0,0,2.41714285714286,1.98090952526439
0,0,2.42285714285714,-1.28434654647472
0,0,2.42857142857143,-4.55064336568723
0,0,2.43428571428571,-7.81847140743575
0,0,2.44,-11.0883179683832
0,0,2.44571428571429,-14.3606658534595
0,0,2.45142857142857,-17.6359920608359
0,0,2.45714285714286,-20.9147664649919
0,0,2.46285714285714,-24.1974504978469
0,0,2.46857142857143,-27.484495828399
0,0,2.47428571428571,-30.7763430412859
0,0,2.48,-34.0734203153964
0,0,2.48571428571429,-37.3761421036794
0,0,2.49142857142857,-40.6849078160479
0,0,2.49714285714286,-44.0001005075442
0,0,2.50285714285714,-47.3220855744152
0,0,2.50857142857143,-50.6512094614828
0,0,2.51428571428571,-53.9877983844103
0,0,2.52,-57.3321570713926
0,0,2.52571428571429,-60.6845675290098
0,0,2.53142857142857,-64.0452878378751
0,0,2.53714285714286,-67.4145509840753
0,0,2.54285714285714,-70.7925637329514
0,0,2.54857142857143,-74.1795055524941
0,0,2.55428571428571,-77.5755275937859
0,0,2.56,-80.9807517367236
0,0,2.56571428571429,-84.3952697092659
0,0,2.57142857142857,-87.8191422890726
0,0,2.57714285714286,-91.2523985964046
0,0,2.58285714285714,-94.6950354872791
0,0,2.58857142857143,-98.1470170560676
0,0,2.59428571428571,-101.608274256286
0,0,2.6,-105.078704648429
0,0,2.60571428571429,-108.558172282963
0,0,2.61142857142857,-112.046507726349
0,0,2.61714285714286,-115.543508237101
0,0,2.62285714285714,-119.048938098028
0,0,2.62857142857143,-122.562529110028
0,0,2.63428571428571,-126.083981251332
0,0,2.64,-129.612963505208
0,0,2.64571428571429,-133.149114857346
0,0,2.65142857142857,-136.692045462987
0,0,2.65714285714286,-140.241337982038
0,0,2.66285714285714,-143.796549078766
0,0,2.66857142857143,-147.357211081146
0,0,2.67428571428571,-150.922833792879
0,0,2.68,-154.492906449764
0,0,2.68571428571429,-158.066899810061
0,0,2.69142857142857,-161.644268367194
0,0,2.69714285714286,-165.224452671475
0,0,2.70285714285714,-168.806881746129
0,0,2.70857142857143,-172.390975581952
0,0,2.71428571428571,-175.976147693532
0,0,2.72,-179.561807719589
0,0,2.72571428571429,176.852635951024
0,0,2.73142857142857,173.267773546083
0,0,2.73714285714286,169.684191288286
0,0,2.74285714285714,166.102468803682
0,0,2.74857142857143,162.523176578238
0,0,2.75428571428571,158.946873480278
0,0,2.76,155.37410436527
0,0,2.76571428571429,151.805397778792
0,0,2.77142857142857,148.241263771909
0,0,2.77714285714286,144.682191842028
0,0,2.78285714285714,141.128649010768
0,0,2.78857142857143,137.581078048538
0,0,2.79428571428571,134.039895854178
0,0,2.8,130.505491995884
0,0,2.80571428571429,126.978227418308
0,0,2.81142857142857,123.458433318639
0,0,2.81714285714286,119.946410193033
0,0,2.82285714285714,116.442427053159
0,0,2.82857142857143,112.946720810917
0,0,2.83428571428571,109.459495828325
0,0,2.84,105.980923627957
0,0,2.84571428571429,102.511142758554
0,0,2.85142857142857,99.0502588091182
0,0,2.85714285714286,95.5983445642211
0,0,2.86285714285714,92.1554402925521
0,0,2.86857142857143,88.7215541600402
0,0,2.87428571428571,85.2966627588249
0,0,2.88,81.8807117427654
0,0,2.88571428571429,78.4736165604378
0,0,2.89142857142857,75.0752632762813
0,0,2.89714285714286,71.6855094708708
0,0,2.90285714285714,68.3041852115437
0,0,2.90857142857143,64.9310940847092
0,0,2.91428571428571,61.5660142818824
0,0,2.92,58.2086997315694
0,0,2.92571428571429,54.8588812699899
0,0,2.93142857142857,51.5162678438258
0,0,2.93714285714286,48.180547738945
0,0,2.94285714285714,44.8513898296136
0,0,2.94857142857143,41.5284448430915
0,0,2.95428571428571,38.2113466353844
0,0,2.96,34.8997134741374
0,0,2.96571428571429,31.5931493255476
0,0,2.97142857142857,28.2912451423766
0,0,2.97714285714286,24.9935801508289
0,0,2.98285714285714,21.6997231345254
0,0,2.98857142857143,18.4092337140162
0,0,2.99428571428571,15.1216636209843
0,0,3,11.8365579662696
0,0,3.00571428571429,8.55345650150374
0,0,3.01142857142857,5.27189487408388
0,0,3.01714285714286,1.99140587561944
0,0,3.02285714285714,-1.28847931584766
0,0,3.02857142857143,-4.56822989962405
0,0,3.03428571428571,-7.84831422153639
0,0,3.04,-11.1291985481999
0,0,3.04571428571429,-14.4113458457598
0,0,3.05142857142857,-17.6952145628556
0,0,3.05714285714286,-20.9812574174513
0,0,3.06285714285714,-24.2699201873405
0,0,3.06857142857143,-27.5616405044975
0,0,3.07428571428571,-30.8568466533752
0,0,3.08,-34.1559563738552
0,0,3.08571428571429,-37.4593756695037
0,0,3.09142857142857,-40.7674976224478
0,0,3.09714285714286,-44.0807012163333
0,0,3.10285714285714,-47.3993501692362
0,0,3.10857142857143,-50.7237917790077
0,0,3.11428571428571,-54.054355783646
0,0,3.12,-57.3913532401068
0,0,3.12571428571429,-60.7350754250617
0,0,3.13142857142857,-64.0857927619047
0,0,3.13714285714286,-67.4437537785547
0,0,3.14285714285714,-70.8091841010759
0,0,3.14857142857143,-74.1822854887136
0,0,3.15428571428571,-77.5632349162906
0,0,3.16,-80.9521837099873
0,0,3.16571428571429,-84.3492567434176
0,0,3.17142857142857,-87.7545517007996
0,0,3.17714285714286,-91.1681384142697
0,0,3.18285714285714,-94.5900582825573
0,0,3.18857142857143,-98.02032377847
0,0,3.19428571428571,-101.458918052258
0,0,3.2,-104.905794638184
0,0,3.20571428571429,-108.360877271018
0,0,3.21142857142857,-111.824059819146
0,0,3.21714285714286,-115.295206340323
0,0,3.22285714285714,-118.774151265506
0,0,3.22857142857143,-122.26069971574
0,0,3.23428571428571,-125.75462795587
0,0,3.24,-129.255683988367
0,0,3.24571428571429,-132.763588289094
0,0,3.25142857142857,-136.278034686072
0,0,3.25714285714286,-139.798691380895
0,0,3.26285714285714,-143.325202111146
0,0,3.26857142857143,-146.857187451065
0,0,3.27428571428571,-150.394246246021
0,0,3.28,-153.935957175337
0,0,3.28571428571429,-157.481880436294
0,0,3.29142857142857,-161.031559541129
0,0,3.29714285714286,-164.584523217389
0,0,3.30285714285714,-168.140287400769
0,0,3.30857142857143,-171.698357308732
0,0,3.31428571428571,-175.258229581856
0,0,3.32,-178.819394479446
0,0,3.32571428571429,177.618661885132
0,0,3.33142857142857,174.056455284075
0,0,3.33714285714286,170.494501104947
0,0,3.34285714285714,166.933312086019
0,0,3.34857142857143,163.373396072214
0,0,3.35428571428571,159.815253806819
0,0,3.36,156.259376773338
0,0,3.36571428571429,152.706245101588
0,0,3.37142857142857,149.156325551071
0,0,3.37714285714286,145.610069583931
0,0,3.38285714285714,142.067911538741
0,0,3.38857142857143,138.530266915034
0,0,3.39428571428571,134.99753077755
0,0,3.4,131.470076287488
0,0,3.40571428571429,127.948253367083
0,0,3.41142857142857,124.432387502123
0,0,3.41714285714286,120.922778685839
0,0,3.42285714285714,117.41970050628
0,0,3.42857142857143,113.923399377751
0,0,3.43428571428571,110.434093916002
0,0,3.44,106.951974455309
0,0,3.44571428571429,103.477202704875
0,0,3.45142857142857,100.009911540701
0,0,3.45714285714286,96.5502049283734
0,0,3.46285714285714,93.0981579715146
0,0,3.46857142857143,89.6538170797314
0,0,3.47428571428571,86.2172002497712
0,0,3.48,82.7882974527625
0,0,3.48571428571429,79.3670711205239
0,0,3.49142857142857,75.9534567233924
0,0,3.49714285714286,72.547363432139
0,0,3.50285714285714,69.1486748565405
0,0,3.50857142857143,65.757249853062
0,0,3.51428571428571,62.3729233945843
0,0,3.52,58.9955074949753
0,0,3.52571428571429,55.6247921819501
0,0,3.53142857142857,52.2605465116627
0,0,3.53714285714286,48.9025196190591
0,0,3.54285714285714,45.5504417983878
0,0,3.54857142857143,42.2040256085046
0,0,3.55428571428571,38.8629669983392
0,0,3.56,35.5269464479774
0,0,3.56571428571429,32.1956301215904
0,0,3.57142857142857,28.8686710285611
0,0,3.57714285714286,25.5457101897672
0,0,3.58285714285714,22.2263778063711
0,0,3.58857142857143,18.9102944286559
0,0,3.59428571428571,15.5970721231077
0,0,3.6,12.2863156359257
0,0,3.60571428571429,8.97762355178568
0,0,3.61142857142857,5.67058944664453
0,0,3.61714285714286,2.36480303381033
